;adr;price;rooms;area;floor;items
10;г. Минск, ул. Пирогова, д.6 (Октябрьский район);155 676 BYN;2-комн.;50.5 м2;3/9 этаж;3/9 кирпичный, площадь 50,50/28,20/7,90, лоджия застекленная, телефон: есть, год постройки 1998, Стеклопакеты.
11;г. Минск, ул. Игоря Лученка, д.7 (Октябрьский район);248 233 BYN;3-комн.;71.3 м2;3/16 этаж;3/16 каркасно-блочный, площадь 71,30/24,20/35,50, лоджия застекленная, год постройки 2021
12;г. Минск, ул. Кижеватова, д.1/б (Октябрьский район);132 224 BYN;1-комн.;29 м2;3/16 этаж;3/16 каркасно-блочный, площадь 29/20/9, лоджия застекленная, год постройки 2021, Мебель, встроенные шкафы, стеклопакеты, стоянка автомобиля, бытовая техника. Монолитно-каркасные дом `Джакарта` (2021 год сдачи) расположен в ЖК `Minsk World`, оборудован достаточным количеством парковочных мест. Рядом с домом строится паркинг с магазином.В квартире выполнен качественный продуманный ремонт,имеется просторная лоджия .Продумана электрика - установлены проходные выключатели. В санузле , коридоре и в комнате уложен качественный керамогранит. Кухня оснащена всей техникой - варочная панель, духовой шкаф, вытяжка. Выполнена подсветка рабочей поверхности. Кухня и вся мебель выполнена в потолок.В квартире имеется зона прихожей с местами хранения, а также большой зеркальный шкаф купе.Квартира продаётся со всей мебелью и техникой. Отличная транспортная доступность. Рядом остановка общественного транспорта.
13;г. Минск, просп. Независимости, д.52 (Советский район);218 794 BYN;3-комн.;41.9 м2;3/5 этаж;3/5 кирпичный, площадь 41,90/33,50/5,70, нет, телефон: есть, год постройки 1962, год кап.ремонта 2013, Центр города, готова к проживанию, зеленая зона.
14;г. Минск, просп. Победителей, д.115 (Центральный район);268 191 BYN;2-комн.;51.9 м2;8/17 этаж;8/17 монолитный, площадь 51,90/30,80/10, лоджия застекленная, год постройки 2021, Мебель, встроенные шкафы, металлическая дверь, стеклопакеты, счетчики воды, стоянка автомобиля, бытовая техника, видео-домофон, готова к проживанию, зеленая зона, огороженная территория, квартира для VIP, новостройка. Отличная квартира с качественной отделкой, только импортные материалы, керамогранит с подогревом на полу, встроенная мебель и техника европейских производителей, оборудованный санузел и большая гардеробная, встроенный холодильник и посудомоечная машина, кондиционер производства Японии, продуманная разводка электрики, светильники, подсветки. Всё абсолютно новое и включено в стоимость, никто не проживал. Окна на западную сторону, хороший вид. Высота потолков - 2,87м! Возможна продажа машиноместа в подземном паркинге.Статусный дом в престижном месте, современный ЖК Лазурит, коммерческая застройка. Напротив Минск-Арена и различные спорткомплексы, рядом водохранилище Дрозды с обустроенными зонами отдыха и пляжем, велодорожки, лесопарк. Дом с закрытым двухуровневым подземным паркингом, лифт к машиноместам, огороженная территория с доступом по чипу, шлагбаумы на въезд во двор, видеонаблюдение, собственная обслуживающая организация. Вентилируемый фасад, скоростные лифты.
15;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);82 328 BYN;1-комн.;31.77 м2;15/25 этаж;15/25 каркасно-блочный, площадь 31,77/19/—, лоджия застекленная, год постройки 2023, Металлическая дверь, стеклопакеты, счетчики воды, подвал, домофон, видео-домофон, с оформлением, срочно, центр города, готова к проживанию, зеленая зона, свободная планировка, новостройка. Есть выбор квартир от 27 до 80 кв.м. со свободной планировкой.Как готовые, так и строящиеся варианты!По всем вопросам звоните по указанному номеру телефона!
16;г. Минск, ул. Кульман, д.30 (Советский район);164 657 BYN;2-комн.;39.6 м2;5/9 этаж;5/9 панельный, площадь 39,60/22,50/7,10, лоджия застекленная, год постройки 1972
17;г. Минск, ул. Козлова, д.12 (Партизанский район);182 120 BYN;2-комн.;54.6 м2;5/5 этаж;5/5 кирпичный, площадь 54,60/27,12/7,70, нет, год постройки 1957
18;г. Минск, ул. Лобанка, д.62/П6 (Фрунзенский район);179 376 BYN;3-комн.;68.1 м2;6/9 этаж;6/9 панельный, площадь 68,10/40,80/9, лоджия застекленная, год постройки 1994, Мебель, стеклопакеты, домофон, готова к проживанию, зеленая зона. Продаётся аккуратная трехкомнатная квартира с улучшенной планировкой!
19;г. Минск, ул. Игоря Лученка, д.34 (Октябрьский район);104 258 BYN;2-комн.;40.75 м2;13/25 этаж;13/25 монолитный, площадь 40,75/20,33/10, лоджия застекленная, год постройки 2023, Стеклопакеты, счетчики воды, домофон, зеленая зона, свободная планировка, новостройка. 143
20;г. Минск, ул. Ванеева, д.22 (Партизанский район);114 761 BYN;1-комн.;32.7 м2;4/5 этаж;4/5 панельный, площадь 32,70/19/5,80, балкон застекленный, телефон: есть, год постройки 1965, Мебель, встроенные шкафы, стеклопакеты, счетчики воды.
21;г. Минск, ул. Белградская, д.1 (Октябрьский район);286 154 BYN;3-комн.;71.4 м2;7/25 этаж;7/25 каркасно-блочный, площадь 71,40/50,70/—, лоджия, телефон: есть, год постройки 2022, Варочная панель, духовой шкаф, посудомойка, стеклопакеты, центр города, счетчики воды, домофон, металлическая дверь, благоустроенный двор, консьерж, готова к проживанию, охраняемая территория, места для парковки.
22;г. Минск, ул. Николы Теслы, д.15 (Октябрьский район);129 480 BYN;2-комн.;42 м2;12/15 этаж;12/15 каркасно-блочный, площадь 42/37/—, лоджия застекленная, год постройки 2022, Стеклопакеты, новостройка. Квартира в новостройке, по цене ниже чем у застройщика. Холл, консьерж, детская площадка, развитая инфраструктура.
23;г. Минск, ул. Цнянская, д.9 (Советский район);159 667 BYN;2-комн.;39.8 м2;1/5 этаж;1/5 кирпичный, площадь 39,80/23/6,16, нет, год постройки 1969
24;г. Минск, ул. Макаенка, д.12/Г (Первомайский район);245 738 BYN;1-комн.;46.6 м2;5/25 этаж;Продаётся евродвушка с ремонтом в ЖК «Парк Челюскинцев», рядом с живописным парком и в шаговой доступности от метро. Дом сдан в 2021 году.
25;г. Минск, ул. Николы Теслы, д.15 (Октябрьский район);129 480 BYN;1-комн.;42 м2;12/15 этаж;12/15 каркасно-блочный, площадь 42/37/—, лоджия застекленная, год постройки 2022, Стеклопакеты, новостройка. Квартира в новостройке, по цене ниже чем у застройщика. Холл, консьерж, детская площадка, развитая инфраструктура.
26;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);112 466 BYN;2-комн.;45.7 м2;3/25 этаж;3/25 монолитный, площадь 45,70/23,40/10, лоджия застекленная, год постройки 2024, Стеклопакеты, счетчики воды, домофон, зеленая зона, новостройка. 6
27;г. Минск, ул. Прилукская (Московский район);137 613 BYN;1-комн.;40.86 м2;7/14 этаж;"Квартиры в жилом комплексе «Smart» рядом с пр-т Дзержинского и метро Грушевка
13-этажный, каркасно-блочный дом.
Двухуровневый подземный паркинг.
Современный большой двор для жильцов(5000 кв.м. )
Разумные площади без ""лишних"" метров  (В наличии 1-2-3-комнатные квартиры)
Удобный выезд на основные магистрали ( пр-т Жукова и Дзержинского ) 
Помещения для бизнеса на первых этажах ( общей площадью 3500 м2 )
Рассрочка от 30% до 5-х лет
Консультации в офисе ( м.Немига )  - звоните и приезжайте"
28;г. Минск, просп. Мира, д.18 (Октябрьский район);103 534 BYN;1-комн.;32 м2;15/25 этаж;15/25 каркасно-блочный, площадь 32/22/8, лоджия застекленная, год постройки 2021, Стеклопакеты, счетчики воды, стоянка автомобиля, центр города, зеленая зона, свободная планировка, новостройка. Квартира 167
29;г. Минск, ул. Асаналиева, д.5 (Октябрьский район);104 782 BYN;1-комн.;35.4 м2;4/9 этаж;4/9 панельный, площадь 35,40/17,10/7,20, лоджия застекленная, телефон: есть, год постройки 1980, Металлическая дверь, счетчики воды, домофон, готова к проживанию. Окна во двор.
30;г. Минск, ул. Братская, д.1 (Октябрьский район);111 019 BYN;1-комн.;29.4 м2;20/25 этаж;20/25 каркасно-блочный, площадь 29,40/23,30/—, лоджия застекленная, год постройки 2022
31;г. Минск, ул. Нововиленская, д.41 (Центральный район);185 725 BYN;2-комн.;49.63 м2;4/9 этаж;4/9 каркасно-блочный, площадь 49,63/27,52/4,97, лоджия застекленная, год постройки 2022, Металлическая дверь, стеклопакеты, счетчики воды, стоянка автомобиля, домофон, центр города, зеленая зона, огороженная территория, новостройка. Кв № 13 кладовки нет
32;г. Минск, ул. Кропоткина, д.57 (Центральный район);497 713 BYN;4-комн.;144.3 м2;7/10 этаж;7/10 каркасно-блочный, площадь 144/89,30/19,70, лоджия застекленная + вагонка, год постройки 2004, Мебель, встроенные шкафы, металлическая дверь, стеклопакеты, счетчики воды, стоянка автомобиля, бытовая техника, домофон, готова к проживанию, зеленая зона, свободная планировка. Паркет, мебель. Шлагбаум, консьерж. Ванна и санузел облицованы современной плиткой, установлена сантехника. Стеклопакеты.
33;г. Минск, ул. Левина, д.13 (Октябрьский район);169 147 BYN;2-комн.;38.2 м2;13/25 этаж;13/25 каркасно-блочный, площадь 38,20/33/—, лоджия застекленная, телефон: есть, год постройки 2021, Мебель, встроенные шкафы, металлическая дверь, стеклопакеты, счетчики воды, стоянка автомобиля, бытовая техника, домофон, центр города, готова к проживанию, новостройка. Евродвушка, `видовая` квартира с ремонтом, 13 этаж, панорамные окна в пол с усиленными, небьющимися двухкамерными стеклопакетами и замками. Застекленная лоджия с видом наружу квартала, из которого открывается прекрасный вид на закат. В квартире полностью сделан ремонт, преимущественно импортные материалы.
34;г. Минск, ул. Радужная, д.11 (Центральный район);206 819 BYN;2-комн.;55.2 м2;4/9 этаж;В продаже просторная 2-х комнатная квартира улучшенной планировки с шикарным видом на 4 этаже!
35;г. Минск, ул. Алтайская, д.102/1 (Заводской район);99 543 BYN;1-комн.;35.4 м2;7/9 этаж;7/9 панельный, площадь 35,40/17/7,10, лоджия застекленная, телефон: есть, год постройки 1982, Домофон.
36;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);107 376 BYN;2-комн.;43.63 м2;24/25 этаж;24/25 монолитный, площадь 43,63/21,32/10, лоджия застекленная, год постройки 2024, Стеклопакеты, счетчики воды, домофон, зеленая зона, свободная планировка, новостройка. 259
37;г. Минск, ул. Гало, д.76 (Советский район);242 744 BYN;2-комн.;64.7 м2;9/10 этаж;9/10 каркасно-блочный, площадь 64,70/44,40/12,70, 2 лоджии застекленные, телефон: есть, год постройки 2014, Встроенные шкафы, металлическая дверь, стеклопакеты, счетчики воды, стоянка автомобиля, бытовая техника, домофон, центр города, готова к проживанию, зеленая зона, огороженная территория.
38;г. Минск, ул. Хоружей, д.26 (Советский район);133 472 BYN;1-комн.;42 м2;8/9 этаж;8/9 кирпичный, площадь 42/20/7,70, балкон, телефон: есть, год постройки 1978, Счетчики воды, встроенные шкафы, домофон, металлическая дверь, благоустроенный зеленый двор, зеленая зона, детская площадка, замена сантехническихУзлов. Стиральная машина, плита, вытяжка, холодильник. Центр города, кирпичный дом. Интернет.
39;г. Минск, ул. Мирошниченко, д.3/А (Советский район);319 334 BYN;3-комн.;79.3 м2;5/10 этаж;Фактически 4 комнатная квартира(3 отдельные спальни плюс кухня- столовая 17,2 мКв.) Два отдельных санузла!
40;г. Минск, ул. Игоря Лученка, д.12/3 (Октябрьский район);104 265 BYN;2-комн.;40.75 м2;22/25 этаж;22/25 каркасно-блочный, площадь 40,75/32/8, лоджия, год постройки 2024, Стеклопакеты, счетчики воды, свободная планировка, новостройка. 260 кв
41;г. Минск, ул. Грушевская, д.23 (Московский район);207 630 BYN;3-комн.;72.37 м2;5/17 этаж;5/17 панельный, площадь 72,37/49,17/—, лоджия застекленная, год постройки 2024, Стеклопакеты, счетчики воды, домофон, новостройка. № 160
42;г. Минск, ул. Кропоткина, д.59 (Центральный район);178 378 BYN;1-комн.;47.71 м2;5/15 этаж;5/15 каркасно-блочный, площадь 47,71/19,47/12, лоджия застекленная, год постройки 2022, Металлическая дверь, стеклопакеты, счетчики воды, стоянка автомобиля, домофон, центр города, зеленая зона, огороженная территория, свободная планировка, новостройка.
43;г. Минск, ул. Бачило, д.21 (Заводской район);161 913 BYN;3-комн.;65.5 м2;5/9 этаж;Продается светлая 3-х комнатная квартира в микрорайоне Шабаны. Квартира с отличной планировкой, все комнаты изолированы, окна на две стороны, НЕ УГЛОВАЯ! Планировка: 65.5\63.3\43.4\7.2 Отличное место расположения, до ст.м. Могилевская 12 минут езды на общественном транспорте. Развитая инфраструктура, зеленая зона, магазины, школы, детские сады, поликлиника, аптека, банк рядом с домом. Прекрасные соседи. Лифт новый. Чистый, аккуратный подъезд.
44;г. Минск, просп. Независимости, д.88 (Первомайский район);211 809 BYN;3-комн.;62.9 м2;2/12 этаж;"Продается квартира свободной планировки в ЖК ""Парк Челюскинцев"" на 2 этаже каркасно-блочного дома, межквартирные стены выложены красным кирпичом, что дает повышенную звукоизоляцию, высота потолков 3.0 м. Площадь по СНБ - 62,9 м2, Общая - 60,5 м2, Жилая - 56,5 м2."
45;г. Минск, ул. Матусевича, д.60 (Фрунзенский район);271 684 BYN;3-комн.;79.3 м2;9/9 этаж;9/9 панельный, площадь 79,30/46,70/10,20, лоджия, год постройки 2011, Мебель, встроенные шкафы, металлическая дверь, стеклопакеты, счетчики воды, стоянка автомобиля, бытовая техника, домофон, готова к проживанию, зеленая зона. 3-х комнатная квартира с отличным качественным ремонтом, бытовой техникой и мебелью,чистая продажа!
46;г. Минск, ул. Жореса Алфёрова, д.9 (Октябрьский район);144 324 BYN;3-комн.;55.13 м2;20/21 этаж;20/21 каркасно-блочный, площадь 55,13/37,69/10, лоджия застекленная, год постройки 2024, Стеклопакеты, счетчики воды, стоянка автомобиля, центр города, зеленая зона, свободная планировка, новостройка. Кв 220
47;г. Минск, ул. Игоря Лученка, д.12/3 (Октябрьский район);67 791 BYN;1-комн.;26 м2;19/25 этаж;19/25 каркасно-блочный, площадь 26/20/—, лоджия, год постройки 2024, Стеклопакеты, счетчики воды, свободная планировка, новостройка. 228 кв
48;г. Минск, ул. Савицкого, д.3 (Октябрьский район);129 231 BYN;1-комн.;31.3 м2;18/25 этаж;18/25 панельный, площадь 31,30/29/—, лоджия застекленная, год постройки 2021
49;г. Минск, ул. Аэродромная, д.26/А (Октябрьский район);99 543 BYN;1-комн.;32.2 м2;18/25 этаж;18/25 каркасно-блочный, площадь 32,20/17/—, лоджия застекленная, год постройки 2022, Свободная планировка, новостройка. Отличное расположение, полноценная инфраструктура
50;г. Минск, ул. Грушевская, д.23 (Московский район);101 314 BYN;1-комн.;26.2 м2;17/17 этаж;17/17 монолитный, площадь 26,20/13,10/7, лоджия застекленная, год постройки 2024, Стеклопакеты, счетчики воды, домофон, зеленая зона, новостройка.
51;г. Минск, ул. Чичурина, д.18 (Фрунзенский район);125 962 BYN;1-комн.;43.1 м2;9/9 этаж;9/9 панельный, площадь 43,10/17,80/9, лоджия застекленная, телефон: есть, год постройки 2012, Деревянные стеклопакеты, счетчики воды, . домофон, готова к проживанию, полноценный техэтаж благоустроенный двор, детская площадка, отличный район, развита инфраструктура, рынок Ждановичи, большой выбор торговых центров и магазинов, новые детские сады и школы с бассейном. Регулярно курсирует автобус №54 от ст. метро Спортивная. Время в пути 10 минут.
52;г. Минск, ул. Строителей, д.5 (Заводской район);162 162 BYN;3-комн.;60.39 м2;2/3 этаж;2/3 кирпичный, площадь 60,39/43,18/5,23, нет, год постройки 1958
53;г. Минск, ул. Мстиславца, д.5 (Первомайский район);324 075 BYN;2-комн.;70.7 м2;1/10 этаж;1/10 каркасно-блочный, площадь 70,70/35,80/13,40, лоджия застекленная, год постройки 2012, Двухкамерные стеклопакеты, счетчики учета воды и тепла, стоянка автомобиля, зеленая зона.
54;г. Минск, ул. Сухаревская, д.1 (Фрунзенский район);199 335 BYN;4-комн.;87.3 м2;3/9 этаж;3/9 панельный, площадь 87,30/55,70/7,10, лоджия, год постройки 1996
55;г. Минск, ул. Седых, д.60 (Первомайский район);136 965 BYN;2-комн.;47.5 м2;2/5 этаж;2/5 панельный, площадь 47,50/31,90/6,10, балкон застекленный, телефон: есть, год постройки 1967, Встроенные шкафы, металлическая дверь, стеклопакеты, счетчики воды, домофон, готова к проживанию, зеленая зона.
56;г. Минск, просп. Мира, д.2 (Октябрьский район);381 704 BYN;3-комн.;69.8 м2;11/25 этаж;11/25 каркасно-блочный, площадь 69,80/56,90/12, лоджия застекленная, год постройки 2020, Мебель, встроенные шкафы, металлическая дверь, стеклопакеты, счетчики воды, стоянка автомобиля, бытовая техника, домофон, центр города, готова к проживанию, зеленая зона.
57;г. Минск, ул. Грушевская, д.23 (Московский район);136 540 BYN;2-комн.;42.1 м2;13/17 этаж;13/17 монолитный, площадь 42,10/21,05/10, лоджия застекленная, год постройки 2024, Стеклопакеты, счетчики воды, домофон, зеленая зона, новостройка.
58;г. Минск, ул. Кижеватова, д.1/А (Октябрьский район);92 283 BYN;1-комн.;27.8 м2;15/16 этаж;15/16 каркасно-блочный, площадь 27,80/18/7, лоджия застекленная, год постройки 2020, Стеклопакеты, счетчики воды, стоянка автомобиля, центр города, зеленая зона, свободная планировка, новостройка. Квартира 178
59;г. Минск, ул. Скорины, д.5 (Первомайский район);256 964 BYN;2-комн.;56.1 м2;3/3 этаж;3/3 каркасно-блочный, площадь 56,10/43,90/8, лоджия застекленная, телефон: есть, год постройки 2019, Стеклопакеты, счетчики воды, стоянка автомобиля, домофон, зеленая зона, свободная планировка.
60;г. Минск, ул. Прилукская (Московский район);180 404 BYN;2-комн.;57.85 м2;8/14 этаж;"Квартиры в жилом комплексе «Smart» рядом с пр-т Дзержинского и метро Грушевка

13-этажный, каркасно-блочный дом.
Двухуровневый подземный паркинг.
Современный большой двор для жильцов(5000 кв.м. )
Разумные площади без ""лишних"" метров (В наличии 1-2-3-комнатные квартиры)
Удобный выезд на основные магистрали ( пр-т Жукова и Дзержинского )
Помещения для бизнеса на первых этажах ( общей площадью 3500 м2 )
Рассрочка от 30% до 5-х лет
Консультации в офисе ( м.Немига ) - звоните и приезжайте"
61;г. Минск, ул. Прилукская (Московский район);230 268 BYN;3-комн.;80.26 м2;8/14 этаж;"Квартиры в жилом комплексе «Smart» рядом с пр-т Дзержинского и метро Грушевка

13-этажный, каркасно-блочный дом.
Двухуровневый подземный паркинг.
Современный большой двор для жильцов(5000 кв.м. )
Разумные площади без ""лишних"" метров (В наличии 1-2-3-комнатные квартиры)
Удобный выезд на основные магистрали ( пр-т Жукова и Дзержинского )
Помещения для бизнеса на первых этажах ( общей площадью 3500 м2 )
Рассрочка от 30% до 5-х лет
Консультации в офисе ( м.Немига ) - звоните и приезжайте"
62;г. Минск, ул. Горецкого, д.69 (Фрунзенский район);189 605 BYN;3-комн.;64 м2;1/10 этаж;1/10 панельный, площадь 64/43/7,20, лоджия застекленная, телефон: есть, год постройки 1993, Мебель, встроенные шкафы, металлическая дверь, стеклопакеты, счетчики воды, бытовая техника, подвал, домофон, готова к проживанию, зеленая зона.
63;г. Минск, ул. Карастояновой, д.23 (Центральный район);183 368 BYN;2-комн.;44.2 м2;5/5 этаж;"СРОЧНО!!! Продается 2-комнатная квартира с евроремонтом и мебелью в Центральном районе г.Минска, в непосредственной близости с Парком ""Дружбы народов""."
64;г. Минск, ул. Слободская, д.121 (Московский район);224 532 BYN;3-комн.;65.6 м2;9/12 этаж;9/12 панельный, площадь 65,60/38/8,80, лоджия, телефон: есть, год постройки 1996, Мебель, встроенные шкафы, металлическая дверь, счетчики воды, стоянка автомобиля, домофон, видео-домофон, готова к проживанию, квартира для VIP. Продам квартиру с идеальным свежим ремонтом Кухня дизайнерская, пластик Феникс, встроенная бытовая техника Bosch, посудомоечная машина, фурнитура blum, холодильник LG, телевизор LG. Классический ремонт в зале, немецкие обои, мебель, великолепный мягкий уголок. Новые межкомнатные двери. В спальне венецианская штукатурка. Кладовка. Квартира продается с мебелью. Ничего лишнего. Везде стоят двухкамерные стеклопакеты. Видеонаблюдение в подъезде, выход которого установлен в квартире, можно просмотреть с телефона кто стоит у вашей двери находясь в любом месте земного шара. Огромный выбор места во дворе, также есть место на охраняемой стоянке, передам. Новые лифты. Во дворе гимназия, школа, детский сад, TЦ, четыре разных супермаркета. Живите сейчас и сегодня, квартира очень теплая, светлая. И нет головной боли про ремонт в квартире.
65;г. Минск, ул. Каховская, д.40 (Центральный район);172 141 BYN;3-комн.;55.2 м2;1/5 этаж;1/5 кирпичный, площадь 55,20/41,80/6,20, нет, год постройки 1963, Встроенные шкафы, металлическая дверь, стеклопакеты, счетчики воды, стоянка автомобиля, бытовая техника, подвал, домофон, с оформлением, срочно, центр города, готова к проживанию, зеленая зона.
66;г. Минск, ул. Казимировская, д.11 (Фрунзенский район);217 048 BYN;2-комн.;60.9 м2;18/19 этаж;Продуманная планировка квартиры с хорошим ремонтом позволяет комфортно проживать ,как семьям с детьми так и парам молодых людей.В квартире все имеется для этого(бытовая техника,мебель.сантехника).Хорошие и интилегентные соседи,в основном работники банка(не соц. жилье)и молодые пары с детьми
67;г. Минск, ул. Волгоградская, д.25/А (Первомайский район);286 653 BYN;2-комн.;79.3 м2;11/12 этаж;11/12 каркасно-блочный, площадь 79,30/44,70/11, лоджия из кухни застеклена, телефон: есть, год постройки 2014, Мебель, встроенные шкафы, металлическая дверь, сигнализация, стеклопакеты, счетчики воды, стоянка автомобиля, бытовая техника, домофон, готова к проживанию, зеленая зона, новостройка. Машиноместо в подарок! Продажа просторной 2-комнатной квартиры с качественным ремонтом по адресу: г.Минск, ул.Волгоградская, д.25А. Площадь 79,3/44,7/11 кв.м. 11/12-этажного каркасно-блочного дома 2014г.п. Отличная квартира вблизи проспекта Независимости и станции метро «Московская». Продуманная планировка ,современный качественный ремонт. Чистая продажа. Торг. Поможем продать Вашу недвижимость для покупки этой квартиры.
68;г. Минск, просп. Рокоссовского, д.148 (Ленинский район);97 048 BYN;1-комн.;32.8 м2;4/5 этаж;"Площадь 32.8/18.5/5.8, материал стен: кирпичный, 1975 г.п. Однокомнатная квартира в микрорайоне Серебрянка.
Бесплатные консультации по купле-продаже жилья ONLINE и  в сети офисов. Звоните 7735 и приходите!"
69;г. Минск, ул. Лосика, д.28 (Фрунзенский район);124 491 BYN;1-комн.;42.9 м2;4/10 этаж;4/10 блок-комнаты, площадь 42,90/17,90/9, лоджия застекленная, год постройки 2016, Счетчики воды, домофон, зеленая зона. Квартира без отделки, идеально подходит для воплощения именно Ваших дизайнерских идей.
70;г. Минск, ул. Глебки, д.18 (Фрунзенский район);126 985 BYN;2-комн.;43.35 м2;4/5 этаж;4/5 панельный, площадь 43,35/27,41/6,91, балкон застекленный, год постройки 1972, год кап.ремонта 2019
71;г. Минск, ул. Слободская, д.15 (Московский район);139 459 BYN;2-комн.;48.9 м2;2/9 этаж;2/9 панельный, площадь 48,90/28,50/7,10, лоджия застекленная, телефон: есть, год постройки 1993, Мебель, встроенные шкафы, металлическая дверь, стеклопакеты, счетчики воды, стоянка автомобиля, домофон, готова к проживанию, зеленая зона.
72;г. Минск, ул. Макаенка, д.12/Е (Первомайский район);225 530 BYN;3-комн.;58.5 м2;11/25 этаж;11/25 каркасно-блочный, площадь 58,50/53,40/—, лоджия застекленная, год постройки 2021, Зеленая зона, свободная планировка, новостройка.
